periodo,tipo,subtipo,barrio,total
01/2020,Homicidio,Doloso,Barracas,1
01/2020,Homicidio,Doloso,Nueva Pompeya,1
01/2020,Homicidio,Doloso,Retiro,1
01/2020,Homicidio,Doloso,Saavedra,1
01/2020,Homicidio,Femicidio,Villa Devoto,1
01/2020,Homicidio,Siniestro Vial,Balvanera,1
01/2020,Homicidio,Siniestro Vial,Flores,1
01/2020,Homicidio,Siniestro Vial,Monserrat,2
01/2020,Homicidio,Siniestro Vial,Recoleta,1
01/2020,Homicidio,Siniestro Vial,San Cristóbal,1
01/2020,Homicidio,Siniestro Vial,Villa Crespo,1
01/2020,Homicidio,Siniestro Vial,Villa Soldati,1
01/2020,Hurto (sin violencia),,,5
01/2020,Hurto (sin violencia),,Agronomía,14
01/2020,Hurto (sin violencia),,Almagro,142
01/2020,Hurto (sin violencia),,Balvanera,306
01/2020,Hurto (sin violencia),,Barracas,75
01/2020,Hurto (sin violencia),,Belgrano,142
01/2020,Hurto (sin violencia),,Boca,46
01/2020,Hurto (sin violencia),,Boedo,58
01/2020,Hurto (sin violencia),,Caballito,157
01/2020,Hurto (sin violencia),,Chacarita,36
01/2020,Hurto (sin violencia),,Coghlan,12
01/2020,Hurto (sin violencia),,Colegiales,50
01/2020,Hurto (sin violencia),,Constitución,90
01/2020,Hurto (sin violencia),,Flores,143
01/2020,Hurto (sin violencia),,Floresta,58
01/2020,Hurto (sin violencia),,Liniers,62
01/2020,Hurto (sin violencia),,Mataderos,88
01/2020,Hurto (sin violencia),,Monserrat,127
01/2020,Hurto (sin violencia),,Monte Castro,25
01/2020,Hurto (sin violencia),,Nueva Pompeya,61
01/2020,Hurto (sin violencia),,Nuñez,66
01/2020,Hurto (sin violencia),,Palermo,349
01/2020,Hurto (sin violencia),,Parque Avellaneda,49
01/2020,Hurto (sin violencia),,Parque Chacabuco,63
01/2020,Hurto (sin violencia),,Parque Chas,17
01/2020,Hurto (sin violencia),,Parque Patricios,55
01/2020,Hurto (sin violencia),,Paternal,20
01/2020,Hurto (sin violencia),,Puerto Madero,23
01/2020,Hurto (sin violencia),,Recoleta,177
01/2020,Hurto (sin violencia),,Retiro,130
01/2020,Hurto (sin violencia),,Saavedra,61
01/2020,Hurto (sin violencia),,San Cristóbal,51
01/2020,Hurto (sin violencia),,San Nicolás,252
01/2020,Hurto (sin violencia),,San Telmo,62
01/2020,Hurto (sin violencia),,Vélez Sársfield,24
01/2020,Hurto (sin violencia),,Versalles,14
01/2020,Hurto (sin violencia),,Villa Crespo,83
01/2020,Hurto (sin violencia),,Villa Del Parque,51
01/2020,Hurto (sin violencia),,Villa Devoto,57
01/2020,Hurto (sin violencia),,Villa Gral. Mitre,25
01/2020,Hurto (sin violencia),,Villa Lugano,101
01/2020,Hurto (sin violencia),,Villa Luro,31
01/2020,Hurto (sin violencia),,Villa Ortuzar,21
01/2020,Hurto (sin violencia),,Villa Pueyrredón,38
01/2020,Hurto (sin violencia),,Villa Real,7
01/2020,Hurto (sin violencia),,Villa Riachuelo,21
01/2020,Hurto (sin violencia),,Villa Santa Rita,27
01/2020,Hurto (sin violencia),,Villa Soldati,38
01/2020,Hurto (sin violencia),,Villa Urquiza,77
01/2020,Hurto (sin violencia),Hurto Automotor,Almagro,12
01/2020,Hurto (sin violencia),Hurto Automotor,Balvanera,11
01/2020,Hurto (sin violencia),Hurto Automotor,Barracas,10
01/2020,Hurto (sin violencia),Hurto Automotor,Belgrano,4
01/2020,Hurto (sin violencia),Hurto Automotor,Boca,1
01/2020,Hurto (sin violencia),Hurto Automotor,Boedo,7
01/2020,Hurto (sin violencia),Hurto Automotor,Caballito,28
01/2020,Hurto (sin violencia),Hurto Automotor,Chacarita,4
01/2020,Hurto (sin violencia),Hurto Automotor,Coghlan,3
01/2020,Hurto (sin violencia),Hurto Automotor,Colegiales,4
01/2020,Hurto (sin violencia),Hurto Automotor,Constitución,10
01/2020,Hurto (sin violencia),Hurto Automotor,Flores,19
01/2020,Hurto (sin violencia),Hurto Automotor,Floresta,8
01/2020,Hurto (sin violencia),Hurto Automotor,Liniers,11
01/2020,Hurto (sin violencia),Hurto Automotor,Mataderos,18
01/2020,Hurto (sin violencia),Hurto Automotor,Monserrat,2
01/2020,Hurto (sin violencia),Hurto Automotor,Monte Castro,5
01/2020,Hurto (sin violencia),Hurto Automotor,Nueva Pompeya,9
01/2020,Hurto (sin violencia),Hurto Automotor,Nuñez,3
01/2020,Hurto (sin violencia),Hurto Automotor,Palermo,19
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,3
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,6
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,14
