periodo,tipo,subtipo,barrio,total,comuna
01/2020,Homicidio,Doloso,Barracas,1,4
01/2020,Homicidio,Doloso,Nueva Pompeya,1,4
01/2020,Homicidio,Doloso,Retiro,1,1
01/2020,Homicidio,Doloso,Saavedra,1,12
01/2020,Homicidio,Femicidio,Villa Devoto,1,11
01/2020,Homicidio,Siniestro Vial,Balvanera,1,3
01/2020,Homicidio,Siniestro Vial,Flores,1,7
01/2020,Homicidio,Siniestro Vial,Monserrat,2,1
01/2020,Homicidio,Siniestro Vial,Recoleta,1,2
01/2020,Homicidio,Siniestro Vial,San Cristóbal,1,3
01/2020,Homicidio,Siniestro Vial,Villa Crespo,1,15
01/2020,Homicidio,Siniestro Vial,Villa Soldati,1,8
01/2020,Hurto (sin violencia),,,5,NA
01/2020,Hurto (sin violencia),,Agronomía,14,15
01/2020,Hurto (sin violencia),,Almagro,142,5
01/2020,Hurto (sin violencia),,Balvanera,306,3
01/2020,Hurto (sin violencia),,Barracas,75,4
01/2020,Hurto (sin violencia),,Belgrano,142,13
01/2020,Hurto (sin violencia),,Boca,46,4
01/2020,Hurto (sin violencia),,Boedo,58,5
01/2020,Hurto (sin violencia),,Caballito,157,6
01/2020,Hurto (sin violencia),,Chacarita,36,15
01/2020,Hurto (sin violencia),,Coghlan,12,12
01/2020,Hurto (sin violencia),,Colegiales,50,13
01/2020,Hurto (sin violencia),,Constitución,90,1
01/2020,Hurto (sin violencia),,Flores,143,7
01/2020,Hurto (sin violencia),,Floresta,58,10
01/2020,Hurto (sin violencia),,Liniers,62,9
01/2020,Hurto (sin violencia),,Mataderos,88,9
01/2020,Hurto (sin violencia),,Monserrat,127,1
01/2020,Hurto (sin violencia),,Monte Castro,25,10
01/2020,Hurto (sin violencia),,Nueva Pompeya,61,4
01/2020,Hurto (sin violencia),,Nuñez,66,13
01/2020,Hurto (sin violencia),,Palermo,349,14
01/2020,Hurto (sin violencia),,Parque Avellaneda,49,9
01/2020,Hurto (sin violencia),,Parque Chacabuco,63,7
01/2020,Hurto (sin violencia),,Parque Chas,17,15
01/2020,Hurto (sin violencia),,Parque Patricios,55,4
01/2020,Hurto (sin violencia),,Paternal,20,15
01/2020,Hurto (sin violencia),,Puerto Madero,23,1
01/2020,Hurto (sin violencia),,Recoleta,177,2
01/2020,Hurto (sin violencia),,Retiro,130,1
01/2020,Hurto (sin violencia),,Saavedra,61,12
01/2020,Hurto (sin violencia),,San Cristóbal,51,3
01/2020,Hurto (sin violencia),,San Nicolás,252,1
01/2020,Hurto (sin violencia),,San Telmo,62,1
01/2020,Hurto (sin violencia),,Vélez Sársfield,24,10
01/2020,Hurto (sin violencia),,Versalles,14,10
01/2020,Hurto (sin violencia),,Villa Crespo,83,15
01/2020,Hurto (sin violencia),,Villa Del Parque,51,11
01/2020,Hurto (sin violencia),,Villa Devoto,57,11
01/2020,Hurto (sin violencia),,Villa Gral. Mitre,25,11
01/2020,Hurto (sin violencia),,Villa Lugano,101,8
01/2020,Hurto (sin violencia),,Villa Luro,31,10
01/2020,Hurto (sin violencia),,Villa Ortuzar,21,15
01/2020,Hurto (sin violencia),,Villa Pueyrredón,38,12
01/2020,Hurto (sin violencia),,Villa Real,7,10
01/2020,Hurto (sin violencia),,Villa Riachuelo,21,8
01/2020,Hurto (sin violencia),,Villa Santa Rita,27,11
01/2020,Hurto (sin violencia),,Villa Soldati,38,8
01/2020,Hurto (sin violencia),,Villa Urquiza,77,12
01/2020,Hurto (sin violencia),Hurto Automotor,Almagro,12,5
01/2020,Hurto (sin violencia),Hurto Automotor,Balvanera,11,3
01/2020,Hurto (sin violencia),Hurto Automotor,Barracas,10,4
01/2020,Hurto (sin violencia),Hurto Automotor,Belgrano,4,13
01/2020,Hurto (sin violencia),Hurto Automotor,Boca,1,4
01/2020,Hurto (sin violencia),Hurto Automotor,Boedo,7,5
01/2020,Hurto (sin violencia),Hurto Automotor,Caballito,28,6
01/2020,Hurto (sin violencia),Hurto Automotor,Chacarita,4,15
01/2020,Hurto (sin violencia),Hurto Automotor,Coghlan,3,12
01/2020,Hurto (sin violencia),Hurto Automotor,Colegiales,4,13
01/2020,Hurto (sin violencia),Hurto Automotor,Constitución,10,1
01/2020,Hurto (sin violencia),Hurto Automotor,Flores,19,7
01/2020,Hurto (sin violencia),Hurto Automotor,Floresta,8,10
01/2020,Hurto (sin violencia),Hurto Automotor,Liniers,11,9
01/2020,Hurto (sin violencia),Hurto Automotor,Mataderos,18,9
01/2020,Hurto (sin violencia),Hurto Automotor,Monserrat,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Monte Castro,5,10
01/2020,Hurto (sin violencia),Hurto Automotor,Nueva Pompeya,9,4
01/2020,Hurto (sin violencia),Hurto Automotor,Nuñez,3,13
01/2020,Hurto (sin violencia),Hurto Automotor,Palermo,19,14
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,3,9
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,6,7
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1,15
01/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,14,4
01/2020,Hurto (sin violencia),Hurto Automotor,Paternal,2,15
01/2020,Hurto (sin violencia),Hurto Automotor,Recoleta,5,2
01/2020,Hurto (sin violencia),Hurto Automotor,Retiro,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Saavedra,7,12
01/2020,Hurto (sin violencia),Hurto Automotor,San Cristóbal,8,3
01/2020,Hurto (sin violencia),Hurto Automotor,San Telmo,2,1
01/2020,Hurto (sin violencia),Hurto Automotor,Vélez Sársfield,4,10
01/2020,Hurto (sin violencia),Hurto Automotor,Versalles,2,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Crespo,8,15
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Del Parque,2,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Devoto,7,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Gral. Mitre,8,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Lugano,22,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Luro,8,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Ortuzar,4,15
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Pueyrredón,9,12
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Real,1,10
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Riachuelo,5,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Santa Rita,5,11
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Soldati,10,8
01/2020,Hurto (sin violencia),Hurto Automotor,Villa Urquiza,7,12
01/2020,Lesiones,Siniestro Vial,,36,NA
01/2020,Lesiones,Siniestro Vial,Agronomía,2,15
01/2020,Lesiones,Siniestro Vial,Almagro,27,5
01/2020,Lesiones,Siniestro Vial,Balvanera,45,3
01/2020,Lesiones,Siniestro Vial,Barracas,17,4
01/2020,Lesiones,Siniestro Vial,Belgrano,17,13
01/2020,Lesiones,Siniestro Vial,Boca,7,4
01/2020,Lesiones,Siniestro Vial,Boedo,11,5
01/2020,Lesiones,Siniestro Vial,Caballito,36,6
01/2020,Lesiones,Siniestro Vial,Chacarita,15,15
01/2020,Lesiones,Siniestro Vial,Coghlan,3,12
01/2020,Lesiones,Siniestro Vial,Colegiales,9,13
01/2020,Lesiones,Siniestro Vial,Constitución,21,1
01/2020,Lesiones,Siniestro Vial,Flores,73,7
01/2020,Lesiones,Siniestro Vial,Floresta,14,10
01/2020,Lesiones,Siniestro Vial,Liniers,7,9
01/2020,Lesiones,Siniestro Vial,Mataderos,9,9
01/2020,Lesiones,Siniestro Vial,Monserrat,13,1
01/2020,Lesiones,Siniestro Vial,Monte Castro,6,10
01/2020,Lesiones,Siniestro Vial,Nueva Pompeya,16,4
01/2020,Lesiones,Siniestro Vial,Nuñez,15,13
01/2020,Lesiones,Siniestro Vial,Palermo,48,14
01/2020,Lesiones,Siniestro Vial,Parque Avellaneda,13,9
01/2020,Lesiones,Siniestro Vial,Parque Chacabuco,11,7
01/2020,Lesiones,Siniestro Vial,Parque Chas,5,15
01/2020,Lesiones,Siniestro Vial,Parque Patricios,14,4
01/2020,Lesiones,Siniestro Vial,Paternal,1,15
01/2020,Lesiones,Siniestro Vial,Puerto Madero,5,1
01/2020,Lesiones,Siniestro Vial,Recoleta,30,2
01/2020,Lesiones,Siniestro Vial,Retiro,16,1
01/2020,Lesiones,Siniestro Vial,Saavedra,26,12
01/2020,Lesiones,Siniestro Vial,San Cristóbal,18,3
01/2020,Lesiones,Siniestro Vial,San Nicolás,18,1
01/2020,Lesiones,Siniestro Vial,San Telmo,10,1
01/2020,Lesiones,Siniestro Vial,Vélez Sársfield,6,10
01/2020,Lesiones,Siniestro Vial,Versalles,2,10
01/2020,Lesiones,Siniestro Vial,Villa Crespo,26,15
01/2020,Lesiones,Siniestro Vial,Villa Del Parque,9,11
01/2020,Lesiones,Siniestro Vial,Villa Devoto,22,11
01/2020,Lesiones,Siniestro Vial,Villa Gral. Mitre,11,11
01/2020,Lesiones,Siniestro Vial,Villa Lugano,17,8
01/2020,Lesiones,Siniestro Vial,Villa Luro,2,10
01/2020,Lesiones,Siniestro Vial,Villa Ortuzar,6,15
01/2020,Lesiones,Siniestro Vial,Villa Pueyrredón,11,12
01/2020,Lesiones,Siniestro Vial,Villa Real,4,10
