reunion_numero,reunion_tipo,sesion_numero,reunion_inicio,reunion_fin,sesion_camara,periodo_id
1,Especial,1,2022-03-08T14:30:00,2022-03-09T03:45:00,DIPUTADOS,HCDN140R01
1,Apertura Ordinarias,,2022-02-27T11:37:00,2022-02-27T13:33:00,ASAMBLEA,HCDN140A01
12,Especial,2,2021-12-19T14:30:00,2021-12-19T17:38:00,DIPUTADOS,HCDN139R12
11,Especial,1,2021-12-14T13:15:00,2021-12-15T10:20:00,DIPUTADOS,HCDN139R11
10,Preparatoria,,2021-12-05T12:30:00,2021-12-05T15:09:00,DIPUTADOS,HCDN139R10
9,Especial,6,2021-10-24T12:33:00,2021-10-25T08:56:00,DIPUTADOS,HCDN139R09
8,Minoría,,2021-10-03T11:44:00,2021-10-03T13:00:00,DIPUTADOS,HCDN139R08
7,Informativa (Remota),5,2021-07-06T11:43:00,2021-07-06T18:40:00,DIPUTADOS,HCDN139R07
6,Especial (Remota),4,2021-06-29T14:27:00,2021-06-30T04:29:00,DIPUTADOS,HCDN139R06
5,Especial (Remota),3,2021-06-08T15:29:00,2021-06-09T04:08:00,DIPUTADOS,HCDN139R05
4,Especial (Remota),2,2021-05-17T14:11:00,2021-05-18T04:06:00,DIPUTADOS,HCDN139R04
3,Especial (Remota),1,2021-03-25T11:43:00,2021-03-26T08:46:00,DIPUTADOS,HCDN139R03
2,Minoria (Remota),,2021-03-23T14:32:00,2021-03-23T14:58:00,DIPUTADOS,HCDN139R02
1,Minoria (Remota),,2021-03-23T12:02:00,2021-03-23T13:23:00,DIPUTADOS,HCDN139R01
1,Apertura Ordinarias,,2021-02-27T11:37:00,2021-02-27T13:54:00,ASAMBLEA,HCDN139A01
19,Especial (Remota),1,2021-02-09T12:16:00,2021-02-10T01:09:00,DIPUTADOS,HCDN138R19
18,Especial (Remota),15,2020-12-27T11:40:00,2020-12-27T23:29:00,DIPUTADOS,HCDN138R18
17,Especial (Remota),14,2020-12-08T11:12:00,2020-12-09T08:48:00,DIPUTADOS,HCDN138R17
16,Preparatoria,,2020-12-07T13:33:00,2020-12-07T14:50:00,DIPUTADOS,HCDN138R16
15,Especial (Remota),13,2020-11-28T13:44:00,2020-11-29T08:18:00,DIPUTADOS,HCDN138R15
14,Especial (Remota),12,2020-11-15T12:25:00,2020-11-16T08:21:00,DIPUTADOS,HCDN138R14
13,Especial (Remota),11,2020-11-09T15:11:00,2020-11-10T01:48:00,DIPUTADOS,HCDN138R13
12,Minoria (Remota),,2020-11-09T12:18:00,2020-11-09T14:24:00,DIPUTADOS,HCDN138R12
11,Especial (Remota),10,2020-10-26T12:11:00,2020-10-27T08:34:00,DIPUTADOS,HCDN138R11
10,Especial (Remota),9,2020-10-05T15:44:00,2020-10-06T02:35:00,DIPUTADOS,HCDN138R10
9,Especial (Remota),8,2020-09-22T15:15:00,2020-09-23T03:43:00,DIPUTADOS,HCDN138R09
8,Especial (Remota),7,2020-08-30T19:36:00,2020-08-31T05:06:00,DIPUTADOS,HCDN138R08
7,Especial (Remota),6,2020-08-02T14:21:00,2020-08-03T02:35:00,DIPUTADOS,HCDN138R07
6,Especial (Remota),5,2020-07-29T15:46:00,2020-07-30T00:41:00,DIPUTADOS,HCDN138R06
5,Informativa (Remota),4,2020-07-28T16:07:00,2020-07-28T22:56:00,DIPUTADOS,HCDN138R05
4,Especial (Remota),3,2020-06-23T16:15:00,2020-05-24T01:59:00,DIPUTADOS,HCDN138R04
3,Minoria (Remota),,2020-05-26T10:34:00,2020-05-26T12:08:00,DIPUTADOS,HCDN138R03
2,Especial (Remota),2,2020-05-19T14:08:00,2020-05-19T20:21:00,DIPUTADOS,HCDN138R02
1,Especial (Remota),1,2020-05-11T18:10:00,2020-05-12T00:43:00,DIPUTADOS,HCDN138R01
1,Apertura Ordinarias,,2020-02-28T11:17:00,2020-02-28T13:19:00,ASAMBLEA,HCDN138A01
15,Especial,5,2020-02-25T12:45:00,2020-02-25T15:55:00,DIPUTADOS,HCDN137R15
14,Informativa Especial,4,2020-02-10T17:34:00,2020-02-10T19:35:00,DIPUTADOS,HCDN137R14
13,Especial,3,2020-01-27T12:41:00,2020-01-27T20:37:00,DIPUTADOS,HCDN137R13
12,Especial,2,2019-12-17T15:05:00,2019-12-18T10:19:00,DIPUTADOS,HCDN137R12
11,Especial,1,2019-12-17T14:25:00,2019-12-17T14:48:00,DIPUTADOS,HCDN137R11
10,Preparatoria,,2019-12-02T13:03:00,2019-12-02T15:48:00,DIPUTADOS,HCDN137R10
9,Minoría,,2019-11-19T11:33:00,2019-11-19T13:21:00,DIPUTADOS,HCDN137R09
8,Especial,8,2019-11-18T12:20:00,2019-11-18T23:03:00,DIPUTADOS,HCDN137R08
7,Especial,7,2019-11-11T16:25:00,2019-11-11T21:07:00,DIPUTADOS,HCDN137R07
6,Especial,6,2019-09-10T12:15:00,2019-09-10T15:20:00,DIPUTADOS,HCDN137R06
5,Especial,5,2019-06-24T12:46:00,2019-06-24T14:52:00,DIPUTADOS,HCDN137R05
4,Especial,4,2019-05-13T11:48:00,2019-05-13T17:44:00,DIPUTADOS,HCDN137R04
3,Ordinaria,3,2019-04-22T12:44:00,2019-04-22T23:21:00,DIPUTADOS,HCDN137R03
2,Informativa,2,2019-04-08T11:56:00,2019-04-08T20:40:00,DIPUTADOS,HCDN137R02
1,Especial,1,2019-04-02T12:19:00,2019-04-02T18:46:00,DIPUTADOS,HCDN137R01
3,Juramento Presidente Fernandez,,2019-12-08T11:17:00,2019-12-08T13:07:00,ASAMBLEA,HCDN137A03
2,Proclamación Presidente y Vice,,2019-11-11T14:26:00,2019-11-11T15:07:00,ASAMBLEA,HCDN137A02
1,Apertura Ordinarias,,2019-02-27T10:30:00,2019-02-27T12:02:00,ASAMBLEA,HCDN137A01
19,Especial,3,2018-12-16T13:11:00,2018-12-17T01:28:00,DIPUTADOS,HCDN136R19
18,Especial,2,2018-12-04T11:51:00,2018-12-04T21:39:00,DIPUTADOS,HCDN136R18
17,Especial,1,2018-12-03T13:06:00,2018-12-03T19:44:00,DIPUTADOS,HCDN136R17
16,Preparatoria,,2018-12-03T11:22:00,2018-12-03T13:05:00,DIPUTADOS,HCDN136R16
15,Especial,11,2018-10-22T11:35:00,2018-10-23T06:35:00,DIPUTADOS,HCDN136R15
14,Informativa,10,2018-10-01T11:55:00,2018-10-01T18:34:00,DIPUTADOS,HCDN136R14
13,Minoría,,2018-09-11T12:15:00,2018-09-11T13:59:00,DIPUTADOS,HCDN136R13
12,Minoría,,2018-08-05T11:40:00,2018-08-05T13:51:00,DIPUTADOS,HCDN136R12
11,Informativa,9,2018-07-30T12:20:00,2018-07-30T19:48:00,DIPUTADOS,HCDN136R11
10,Especial,8,2018-07-02T12:11:00,2018-07-02T02:52:00,DIPUTADOS,HCDN136R10
9,Minoría,,2018-06-17T11:33:00,2018-06-17T13:43:00,DIPUTADOS,HCDN136R09
8,Ordinaria,7,2018-06-11T11:22:00,2018-06-12T10:41:00,DIPUTADOS,HCDN136R08
7,Informativa,6,2018-05-21T11:36:00,2018-05-21T17:43:00,DIPUTADOS,HCDN136R07
6,Especial,5,2018-05-07T12:32:00,2018-05-07T23:55:00,DIPUTADOS,HCDN136R06
5,Especial,4,2018-05-07T11:00:00,2018-05-07T12:31:00,DIPUTADOS,HCDN136R05
4,Especial,3,2018-04-23T11:18:00,2018-04-23T17:41:00,DIPUTADOS,HCDN136R04
3,Minoría,,2018-04-16T12:00:00,2018-04-16T17:52:00,DIPUTADOS,HCDN136R03
2,Ordinaria,2,2018-03-19T14:26:00,2018-03-20T03:24:00,DIPUTADOS,HCDN136R02
1,Informativa,1,2018-03-12T11:25:00,2018-03-12T18:33:00,DIPUTADOS,HCDN136R01
1,Apertura Ordinarias,,2018-02-27T10:30:00,2018-02-27T11:44:00,ASAMBLEA,HCDN136A01
26,Especial,3,2017-12-19T11:41:00,2017-12-20T04:22:00,DIPUTADOS,HCDN135R26
25,Especial continuación,2,2017-12-17T17:04:00,2017-12-18T04:18:00,DIPUTADOS,HCDN135R25
24,Especial,2,2017-12-16T14:12:00,2017-12-17T07:18:00,DIPUTADOS,HCDN135R24
23,Especial,1,2017-12-12T14:30:00,2017-12-12T15:07:00,DIPUTADOS,HCDN135R23
22,Preparatoria,,2017-12-04T11:30:00,2017-12-04T14:26:00,DIPUTADOS,HCDN135R22
